SalePrice,LotArea,OverallCond,YearBuilt,TotalBsmtSF,LivingArea
215000,31770,5,1960,1080,2736
105000,11622,6,1961,882,1778
172000,14267,6,1958,1329,2658
244000,11160,5,1968,2110,4220
189900,13830,5,1997,928,2557
195500,9978,6,1998,926,2530
213500,4920,5,2001,1338,2676
191500,5005,5,1992,1280,2560
236500,5389,5,1995,1595,3211
189000,7500,5,1999,994,2798
175900,10000,5,1993,763,2418
185000,7980,7,1992,1168,2355
180400,8402,5,1998,789,2254
171500,10176,5,1990,1300,2641
212000,6820,5,1985,1488,2990
538000,53504,5,2003,1650,4929
164000,12134,7,1988,559,2311
394432,11394,2,2010,1856,3712
141000,19138,5,1951,864,1728
210000,13175,6,1978,1542,3615
190000,11751,6,1977,1844,3688
170000,10625,6,1974,1053,2226
216000,7500,5,2000,814,2488
149000,11241,7,1970,1004,2008
149900,12537,6,1971,1078,2156
142000,8450,6,1968,1056,2112
126000,8400,5,1970,882,1764
115000,10500,5,1971,864,1728
184000,5858,5,1999,1405,2742
96000,1680,5,1971,483,1470
105500,1680,5,1971,525,1617
88000,1680,5,1971,525,1617
127500,4043,5,1977,1069,2138
149900,2280,6,1975,855,2311
120000,2280,6,1975,836,1672
146000,2280,5,1978,855,2311
376162,12858,5,2009,1590,3924
306000,11478,5,2007,1704,3408
395192,10159,5,2009,1930,3870
290941,12883,5,2009,1544,3088
220000,12182,5,2005,1541,3082
275000,11520,5,2005,1698,3396
259000,14122,5,2005,1822,3644
214000,10171,5,2004,1517,3052
611657,12919,5,2009,2330,4694
224000,6371,5,2009,1358,2716
5.00E+05,14300,5,2003,2846,5542
320000,13650,5,2002,1671,3921
319900,7658,5,2005,1752,3504
205000,7132,5,2006,1370,2740
175500,2628,5,2003,764,2390
199500,18494,5,2005,1324,2648
160000,3203,5,2006,1145,2290
192000,3182,5,2004,1256,2525
184500,13300,5,2004,384,1758
216500,7851,5,2002,860,2820
185088,8577,5,2004,847,2580
180000,7750,5,2000,384,1814
222500,9505,5,2001,884,2919
333168,14774,5,1999,1393,3992
355000,17433,5,1998,1629,4104
260400,10593,5,1996,1720,3440
325000,12256,5,1994,1463,4085
290000,11764,7,1999,1152,3422
221000,16770,5,1998,1195,3034
410000,14720,5,1995,2033,5271
221500,8987,5,2005,1595,3190
204500,9215,5,2009,1218,2436
215200,8640,5,2009,756,2303
262500,9000,5,2008,1566,3132
254900,12552,5,2004,991,2938
271500,10440,5,2005,1468,2936
233000,10142,5,2004,956,3040
181000,11920,5,2004,831,2490
205000,8880,5,1994,948,3058
143000,8012,5,1980,923,1846
189000,11218,5,1992,1055,2900
99500,7892,5,1979,918,1836
125000,7175,5,1984,744,1496
194500,9453,7,1993,996,2740
152000,9672,5,1984,1040,2137
171000,8400,6,1980,650,2214
67500,9800,5,1920,816,1828
112000,8930,5,1978,0,1902
148000,11782,7,1961,1109,2264
138500,8450,8,1965,894,1788
122000,9819,5,1967,882,1782
133000,7500,5,1963,1040,2080
127000,6897,8,1962,1040,2080
169000,15410,6,1974,1208,2702
190000,10186,5,1992,750,2673
362500,13143,5,1993,1231,3580
